year,quarter,trades,trade_share_pct,net_pnl_usd,profit_factor,win_rate_pct,gate12a_pass,perf_pass
2001,2001Q3,0,0.0,0.0,0.0,0.0,False,False
2001,2001Q4,0,0.0,0.0,0.0,0.0,False,False
2002,2002Q1,0,0.0,0.0,0.0,0.0,False,False
2002,2002Q2,1,0.7352941176470588,-88.05714285714267,0.0,0.0,False,False
2002,2002Q3,1,0.7352941176470588,-100.34285714285723,0.0,0.0,False,False
2002,2002Q4,0,0.0,0.0,0.0,0.0,False,False
2003,2003Q1,0,0.0,0.0,0.0,0.0,False,False
2003,2003Q2,0,0.0,0.0,0.0,0.0,False,False
2003,2003Q3,0,0.0,0.0,0.0,0.0,False,False
2003,2003Q4,0,0.0,0.0,0.0,0.0,False,False
2004,2004Q1,0,0.0,0.0,0.0,0.0,False,False
2004,2004Q2,0,0.0,0.0,0.0,0.0,False,False
2004,2004Q3,0,0.0,0.0,0.0,0.0,False,False
2004,2004Q4,0,0.0,0.0,0.0,0.0,False,False
2005,2005Q1,1,0.7352941176470588,-149.61428571428604,0.0,0.0,False,False
2005,2005Q2,0,0.0,0.0,0.0,0.0,False,False
2005,2005Q3,0,0.0,0.0,0.0,0.0,False,False
2005,2005Q4,0,0.0,0.0,0.0,0.0,False,False
2006,2006Q1,0,0.0,0.0,0.0,0.0,False,False
2006,2006Q2,0,0.0,0.0,0.0,0.0,False,False
2006,2006Q3,0,0.0,0.0,0.0,0.0,False,False
2006,2006Q4,0,0.0,0.0,0.0,0.0,False,False
2007,2007Q1,0,0.0,0.0,0.0,0.0,False,False
2007,2007Q2,0,0.0,0.0,0.0,0.0,False,False
2007,2007Q3,0,0.0,0.0,0.0,0.0,False,False
2007,2007Q4,0,0.0,0.0,0.0,0.0,False,False
2008,2008Q1,0,0.0,0.0,0.0,0.0,False,False
2008,2008Q2,0,0.0,0.0,0.0,0.0,False,False
2008,2008Q3,0,0.0,0.0,0.0,0.0,False,False
2008,2008Q4,0,0.0,0.0,0.0,0.0,False,False
2009,2009Q1,0,0.0,0.0,0.0,0.0,False,False
2009,2009Q2,0,0.0,0.0,0.0,0.0,False,False
2009,2009Q3,0,0.0,0.0,0.0,0.0,False,False
2009,2009Q4,0,0.0,0.0,0.0,0.0,False,False
